notarealmovie, fakegenre, fakedirector, fakeactor
Ed Wood,Biography,Tim Burton,Johnny Depp
Eddie the Eagle,Biography,Dexter Fletcher,Hugh Jackman
Eddie the Eagle,Biography,Dexter Fletcher,Hugh Jackman
Eddie: The Sleepwalking Cannibal,Comedy,Boris Rodriguez,Stephen McHattie
Eden,Drama,Shyam Madiraju,Jessica Lowndes
Eden Lake,Horror,James Watkins,Michael Fassbender
Edge of Darkness,Crime,Martin Campbell,Bojana Novakovic
Edge of Tomorrow,Action,Doug Liman,Tom Cruise
Edmond,Drama,Stuart Gordon,Joe Mantegna
Edtv,Comedy,Ron Howard,Matthew McConaughey
Edward Scissorhands,Fantasy,Tim Burton,Johnny Depp
Eight Below,Adventure,Frank Marshall,Paul Walker
Eight Legged Freaks,Action,Ellory Elkayem,Scarlett Johansson
El crimen del padre Amaro,Drama,Carlos Carrera,Damián Alcázar
El Mariachi,Action,Robert Rodriguez,Carlos Gallardo
Election,Comedy,Alexander Payne,Matthew Broderick
Elektra,Action,Rob Bowman,Jennifer Garner
Elf,Comedy,Jon Favreau,Peter Dinklage
Elite Squad,Action,José Padilha,Wagner Moura
Elizabeth,Biography,Shekhar Kapur,Fanny Ardant
Elizabeth: The Golden Age,Biography,Shekhar Kapur,Eddie Redmayne
Elizabethtown,Comedy,Cameron Crowe,Orlando Bloom
Ella Enchanted,Comedy,Tommy O'Haver,Anne Hathaway
Elling,Comedy,Petter Næss,Jørgen Langhelle
Elmer Gantry,Drama,Richard Brooks,Shirley Jones
Elsa & Fred,Comedy,Michael Radford,Chris Noth
Elysium,Action,Neill Blomkamp,Matt Damon
Elza,Drama,Mariette Monpierre,Stana Roumillac
Employee of the Month,Comedy,Greg Coolidge,Dane Cook
Enchanted,Animation,Kevin Lima,Jeff Bennett
End of Days,Action,Peter Hyams,CCH Pounder
End of the Spear,Adventure,Jim Hanon,Chase Ellison
End of Watch,Crime,David Ayer,Jake Gyllenhaal
Ender's Game,Action,Gavin Hood,Harrison Ford
Endless Love,Drama,Shana Feste,Alex Pettyfer
Enemy at the Gates,Drama,Jean-Jacques Annaud,Bob Hoskins
Enemy of the State,Action,Tony Scott,Will Smith
Enough,Crime,Michael Apted,Bill Cobbs
Enough Said,Comedy,Nicole Holofcener,Christopher Nicholas Smith
Enter Nowhere,Mystery,Jack Heller,Shaun Sipos
Enter the Dangerous Mind,Thriller,Youssef Delara,Noel Gugliemi
Enter the Void,Drama,Gaspar Noé,Paz de la Huerta
Entrapment,Action,Jon Amiel,Will Patton
Envy,Comedy,Barry Levinson,Amy Poehler
Epic,Adventure,Chris Wedge,Josh Hutcherson
Epic Movie,Adventure,Jason Friedberg,David Carradine
Equilibrium,Action,Kurt Wimmer,Christian Bale
Eragon,Action,Stefen Fangmeier,Djimon Hounsou
Eraser,Action,Chuck Russell,Vanessa Williams
Eraserhead,Fantasy,David Lynch,Hal Landon Jr.
Erin Brockovich,Biography,Steven Soderbergh,Julia Roberts
Ernest & Celestine,Animation,Stéphane Aubier,Mackenzie Foy
Escape from Alcatraz,Biography,Don Siegel,Clint Eastwood
Escape from L.A.,Action,John Carpenter,Steve Buscemi
Escape from New York,Action,John Carpenter,Donald Pleasence
Escape from Planet Earth,Adventure,Cal Brunker,Brendan Fraser
Escape from the Planet of the Apes,Action,Don Taylor,Roddy McDowall
Escape from Tomorrow,Fantasy,Randy Moore,Trey Loney
Escape Plan,Action,Mikael Håfström,Sylvester Stallone
Escobar: Paradise Lost,Crime,Andrea Di Stefano,Josh Hutcherson
Eternal Sunshine of the Spotless Mind,Drama,Michel Gondry,Kate Winslet
Eulogy,Comedy,Michael Clancy,Zooey Deschanel
EuroTrip,Comedy,Jeff Schaffer,Matt Damon
Evan Almighty,Comedy,Tom Shadyac,Jimmy Bennett
Event Horizon,Horror,Paul W.S. Anderson,Sean Pertwee
Ever After: A Cinderella Story,Comedy,Andy Tennant,Anjelica Huston
Everest,Adventure,Baltasar Kormákur,Michael Kelly
Everybody's Fine,Adventure,Kirk Jones,Robert De Niro
Everyone Says I Love You,Comedy,Woody Allen,Natasha Lyonne
Everything Must Go,Comedy,Dan Rush,Will Ferrell
Everything Put Together,Drama,Marc Forster,Radha Mitchell
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Comedy,Woody Allen,Woody Allen
Eve's Bayou,Drama,Kasi Lemmons,Jurnee Smollett-Bell
Evil Dead,Horror,Fede Alvarez,Lou Taylor Pucci
Evil Dead II,Comedy,Sam Raimi,Ted Raimi
Evita,Biography,Alan Parker,Andrea Corr
Evolution,Drama,Lucile Hadzihalilovic,Nissim Renard
Ex Machina,Drama,Alex Garland,Elina Alminas
Exam,Mystery,Stuart Hazeldine,Colin Salmon
Excessive Force,Action,Jon Hess,Burt Young
Executive Decision,Action,Stuart Baird,Oliver Platt
Exeter,Horror,Marcus Nispel,Ashley Tramonte
Exiled,Action,Johnnie To,Simon Yam
eXistenZ,Horror,David Cronenberg,Jennifer Jason Leigh
Exit Wounds,Action,Andrzej Bartkowiak,Michael Jai White
Exodus: Gods and Kings,Action,Ridley Scott,Christian Bale
Exodus: Gods and Kings,Action,Ridley Scott,Christian Bale
Exorcist II: The Heretic,Horror,John Boorman,Linda Blair
Exorcist: The Beginning,Horror,Renny Harlin,James D'Arcy
Exotica,Drama,Atom Egoyan,Bruce Greenwood
Extract,Comedy,Mike Judge,J.K. Simmons
Extraordinary Measures,Drama,Tom Vaughan,Harrison Ford
Extreme Measures,Crime,Michael Apted,J.K. Simmons
Extreme Movie,Comedy,Adam Jay Epstein,Rich Ceraulo
Extreme Ops,Action,Christian Duguay,Rufus Sewell
Extremely Loud & Incredibly Close,Adventure,Stephen Daldry,Tom Hanks
Eye for an Eye,Crime,John Schlesinger,Joe Mantegna
Eye of the Beholder,Drama,Stephan Elliott,Jason Priestley
Eye of the Dolphin,Comedy,Michael D. Sellers,Katharine Ross
Eye See You,Crime,Jim Gillespie,Sylvester Stallone
Eyes Wide Shut,Drama,Stanley Kubrick,Tom Cruise
F.I.S.T.,Drama,Norman Jewison,Sylvester Stallone
Fabled,Drama,Ari Kirschenbaum,R. Brandon Johnson
Face/Off,Action,John Woo,Nicolas Cage
Facing the Giants,Drama,Alex Kendrick,Alex Kendrick
Factory Girl,Biography,George Hickenlooper,Hayden Christensen
Fahrenheit 9/11,Documentary,Michael Moore,Osama bin Laden
Failure to Launch,Comedy,Tom Dey,Bradley Cooper
Fair Game,Biography,Doug Liman,Naomi Watts
Faith Connections,Biography,Pan Nalin,Bhole Baba
Faith Like Potatoes,Drama,Regardt van den Bergh,Sean Cameron Michael
Faithful,Comedy,Paul Mazursky,Chazz Palminteri
Falcon Rising,Action,Ernie Barbarash,Michael Jai White
Fame,Comedy,Kevin Tancharoen,Kelsey Grammer
Family Plot,Comedy,Alfred Hitchcock,Ed Lauter
Fantasia,Animation,James Algar,Leopold Stokowski
Fantasia 2000,Animation,James Algar,Quincy Jones
Fantastic 4: Rise of the Silver Surfer,Action,Tim Story,Chris Evans
Fantastic Four,Action,Josh Trank,Tim Blake Nelson
Fantastic Four,Action,Josh Trank,Tim Blake Nelson
Fantastic Mr. Fox,Adventure,Wes Anderson,Bill Murray
Far from Heaven,Drama,Todd Haynes,Dennis Quaid
Far from Men,Drama,David Oelhoffen,Viggo Mortensen
Farce of the Penguins,Animation,Bob Saget,Alyson Hannigan
Fascination,Mystery,Klaus Menzel,Adam Garcia
Fast Five,Action,Justin Lin,Paul Walker
Fast Times at Ridgemont High,Comedy,Amy Heckerling,Jennifer Jason Leigh
Faster,Action,George Tillman Jr.,Dwayne Johnson
Fat Albert,Comedy,Joel Zwick,Dania Ramirez
Fat Sick & Nearly Dead,Documentary,Joe Cross,Joe Cross
Fatal Attraction,Drama,Adrian Lyne,Fred Gwynne
Fateless,Drama,Lajos Koltai,Marcell Nagy
Fear and Loathing in Las Vegas,Adventure,Terry Gilliam,Johnny Depp
Fear Clinic,Horror,Robert Hall,Angelina Armani
Feardotcom,Crime,William Malone,Natascha McElhone
Feast,Action,John Gulager,Krista Allen
Felicia's Journey,Drama,Atom Egoyan,Bob Hoskins
Femme Fatale,Crime,Brian De Palma,Peter Coyote
Fetching Cody,Drama,David Ray,Nicole Muñoz
Fever Pitch,Comedy,Bobby Farrelly,Jimmy Fallon
Fiddler on the Roof,Drama,Norman Jewison,Topol
Fido,Comedy,Andrew Currie,Alexia Fast
Fifty Dead Men Walking,Drama,Kari Skogland,Jim Sturgess
Fifty Shades of Black,Comedy,Michael Tiddes,Fred Willard
Fifty Shades of Grey,Drama,Sam Taylor-Johnson,Jennifer Ehle
Fight Club,Drama,David Fincher,Brad Pitt
Fight to the Finish,Action,Warren Sheppard,Jennifer Hale
Fight Valley,Action,Rob Hawk,Kari J. Kramer
Fighting Tommy Riley,Drama,Eddie O'Flaherty,Don Wallace
Filly Brown,Drama,Youssef Delara,Noel Gugliemi
Final Destination,Horror,James Wong,Daniel Roebuck
Final Destination 2,Horror,David R. Ellis,Sarah Carter
Final Destination 3,Horror,James Wong,Chelan Simmons
Final Destination 5,Horror,Steven Quale,Emma Bell
Final Fantasy: The Spirits Within,Action,Hironobu Sakaguchi,Steve Buscemi
Find Me Guilty,Biography,Sidney Lumet,Peter Dinklage
Finding Forrester,Drama,Gus Van Sant,F. Murray Abraham
Finding Nemo,Adventure,Andrew Stanton,Alexander Gould
Finding Neverland,Biography,Marc Forster,Johnny Depp
Finishing the Game: The Search for a New Bruce Lee,Comedy,Justin Lin,Monique Gabriela Curnen
Firefox,Action,Clint Eastwood,Clint Eastwood
Fireproof,Drama,Alex Kendrick,Kirk Cameron
Firestarter,Action,Mark L. Lester,Heather Locklear
Firestorm,Action,Alan Yuen,Andy Lau
First Blood,Action,Ted Kotcheff,Sylvester Stallone
First Blood,Action,Ted Kotcheff,Sylvester Stallone
First Knight,Action,Jerry Zucker,Julia Ormond
First Love Last Rites,Drama,Jesse Peretz,Robert John Burke
Fish Tank,Drama,Andrea Arnold,Michael Fassbender
Fiza,Drama,Khalid Mohamed,Karisma Kapoor
Flags of Our Fathers,Drama,Clint Eastwood,Paul Walker
Flame and Citron,Drama,Ole Christian Madsen,Lars Mikkelsen
Flash Gordon,Action,Mike Hodges,Brian Blessed
Flash of Genius,Biography,Marc Abraham,Dylan Authors
Flashdance,Drama,Adrian Lyne,Michael Nouri
Flatliners,Drama,Joel Schumacher,Julia Roberts
Flawless,Comedy,Joel Schumacher,Robert De Niro
Fled,Action,Kevin Hooks,Salma Hayek
Flicka,Adventure,Michael Mayer,Alison Lohman
Flight,Drama,Robert Zemeckis,Denzel Washington
Flight of the Intruder,Action,John Milius,Rosanna Arquette
Flight of the Phoenix,Action,John Moore,Dennis Quaid
Flightplan,Drama,Robert Schwentke,Erika Christensen
Flipped,Comedy,Rob Reiner,Madeline Carroll
Flipper,Adventure,Alan Shapiro,Paul Hogan
Flirting with Disaster,Comedy,David O. Russell,Lily Tomlin
Florence Foster Jenkins,Biography,Stephen Frears,Meryl Streep
Flubber,Comedy,Les Mayfield,Robin Williams
Flushed Away,Adventure,David Bowers,Hugh Jackman
Flyboys,Action,Tony Bill,James Franco
Flying By,Drama,Jim Amatulli,Heather Locklear
Flywheel,Drama,Alex Kendrick,Shannen Fields
Focus,Comedy,Glenn Ficarra,Will Smith
Food Chains,Documentary,Sanjay Rawal,Alma Martinez
Food Inc.,Documentary,Robert Kenner,Michael Pollan
Foodfight!,Action,Lawrence Kasanoff,Jerry Stiller
Foolish,Comedy,Dave Meyers,Eddie Griffin
Fool's Gold,Action,Andy Tennant,Matthew McConaughey
Footloose,Drama,Herbert Ross,Dianne Wiest
Footloose,Drama,Herbert Ross,Dianne Wiest
For a Good Time Call...,Comedy,Jamie Travis,James Wolk
For Colored Girls,Drama,Tyler Perry,Omari Hardwick
For Greater Glory: The True Story of Cristiada,Drama,Dean Wright,Santiago Cabrera
For Your Consideration,Comedy,Christopher Guest,John Michael Higgins
For Your Eyes Only,Action,John Glen,Julian Glover
Force 10 from Navarone,Action,Guy Hamilton,Harrison Ford
Forget Me Not,Horror,Tyler Oliver,Bella Thorne
Forgetting Sarah Marshall,Comedy,Nicholas Stoller,Mila Kunis
Formula 51,Action,Ronny Yu,Meat Loaf
Forrest Gump,Comedy,Robert Zemeckis,Tom Hanks
Forsaken,Drama,Jon Cassar,Demi Moore
Forsaken,Drama,Jon Cassar,Demi Moore
Fort McCoy,Drama,Kate Connor,Johnny Pacar
Fortress,Action,Stuart Gordon,Christopher Lambert
Forty Shades of Blue,Drama,Ira Sachs,Rip Torn
Four Brothers,Action,John Singleton,Josh Charles
Four Christmases,Comedy,Seth Gordon,Jon Favreau
Four Lions,Comedy,Christopher Morris,Kayvan Novak
Four Rooms,Comedy,Allison Anders,Salma Hayek
Four Single Fathers,Comedy,Paolo Monico,Stephanie Szostak
Four Weddings and a Funeral,Comedy,Mike Newell,Kristin Scott Thomas
Frailty,Crime,Bill Paxton,Matthew McConaughey
Frances Ha,Comedy,Noah Baumbach,Greta Gerwig
Frankenweenie,Animation,Tim Burton,Martin Landau
Frat Party,Comedy,Robert Bennett,Randy Wayne
Freakonomics,Documentary,Heidi Ewing,Greg Crowe
Freaky Deaky,Comedy,Charles Matthau,Billy Burke
Freaky Friday,Comedy,Mark Waters,Jamie Lee Curtis
Freddy Got Fingered,Comedy,Tom Green,Rip Torn
Freddy vs. Jason,Action,Ronny Yu,Katharine Isabelle
Freddy's Dead: The Final Nightmare,Comedy,Rachel Talalay,Johnny Depp
Free Birds,Adventure,Jimmy Hayward,Amy Poehler
Free State of Jones,Action,Gary Ross,Matthew McConaughey
Free Style,Drama,William Dear,Madison Pettis
Freedom,Drama,Peter Cousens,Sharon Leal
Freedom Writers,Biography,Richard LaGravenese,Hunter Parrish
Freeheld,Biography,Peter Sollett,Steve Carell
Freeway,Comedy,Matthew Bright,Bokeem Woodbine
Freeze Frame,Crime,John Simpson,Colin Salmon
Frenzy,Thriller,Alfred Hitchcock,Bernard Cribbins
Frequency,Crime,Gregory Hoblit,Dennis Quaid
Frida,Biography,Julie Taymor,Salma Hayek
Friday,Comedy,F. Gary Gray,Nia Long
Friday After Next,Comedy,Marcus Raboy,John Witherspoon
Friday the 13th Part 2,Horror,Steve Miner,Betsy Palmer
Friday the 13th Part III,Horror,Steve Miner,Richard Brooker
Friday the 13th Part VII: The New Blood,Horror,John Carl Buechler,Kane Hodder
Friday the 13th Part VIII: Jason Takes Manhattan,Adventure,Rob Hedden,Kane Hodder
Friday the 13th: A New Beginning,Horror,Danny Steinmann,Tiffany Helm
Friday the 13th: The Final Chapter,Horror,Joseph Zito,Judie Aronson
Friends with Benefits,Comedy,Will Gluck,Mila Kunis
Friends with Money,Comedy,Nicole Holofcener,Greg Germann
Fright Night,Comedy,Craig Gillespie,Grace Phipps
From a Whisper to a Scream,Action,Jeff Burr,Terry Kiser
From Dusk Till Dawn,Crime,Robert Rodriguez,Quentin Tarantino
From Hell,Horror,Albert Hughes,Johnny Depp
From Hell,Horror,Albert Hughes,Johnny Depp
From Here to Eternity,Drama,Fred Zinnemann,Montgomery Clift
From Justin to Kelly,Comedy,Robert Iscove,Anika Noni Rose
From Paris with Love,Action,Pierre Morel,Kasia Smutniak
From Russia with Love,Action,Terence Young,Robert Shaw
Frost/Nixon,Drama,Ron Howard,Toby Jones
Frozen,Adventure,Chris Buck,Josh Gad
Frozen River,Crime,Courtney Hunt,Charlie McDermott
Fruitvale Station,Biography,Ryan Coogler,Ahna O'Reilly
Fuel,Documentary,Joshua Tickell,Larry David
Fugly,Drama,Kabir Sadanand,Jimmy Shergill
Full Frontal,Comedy,Steven Soderbergh,Julia Roberts
Fun Size,Adventure,Josh Schwartz,Thomas McDonell
Fun with Dick and Jane,Comedy,Dean Parisot,John Michael Higgins
Funny Games,Crime,Michael Haneke,Naomi Watts
Funny Ha Ha,Comedy,Andrew Bujalski,Andrew Bujalski
Funny People,Comedy,Judd Apatow,Adam Sandler
Fur: An Imaginary Portrait of Diane Arbus,Biography,Steven Shainberg,Robert Downey Jr.
Furious 7,Action,James Wan,Jason Statham
Furry Vengeance,Comedy,Roger Kumble,Brendan Fraser
Fury,Action,David Ayer,Brad Pitt
Futuro Beach,Drama,Karim Aïnouz,Wagner Moura
G.I. Joe: Retaliation,Action,Jon M. Chu,Channing Tatum
G.I. Joe: The Rise of Cobra,Action,Stephen Sommers,Joseph Gordon-Levitt
Gabriela,Comedy,Bruno Barreto,Marcello Mastroianni
Galaxina,Comedy,William Sachs,Stephen Macht
Galaxy Quest,Adventure,Dean Parisot,Alan Rickman
Gamer,Action,Mark Neveldine,Gerard Butler
Gandhi,Biography,Richard Attenborough,Candice Bergen
Gandhi My Father,Biography,Feroz Abbas Khan,Akshaye Khanna
Gangs of New York,Crime,Martin Scorsese,Leonardo DiCaprio
Gangster Squad,Action,Ruben Fleischer,Ryan Gosling
Gangster's Paradise: Jerusalema,Action,Ralph Ziman,Rapulana Seiphemo
Garden State,Comedy,Zach Braff,Armando Riesco
Garfield,Animation,Peter Hewitt,Bill Murray
Garfield 2,Animation,Tim Hill,Bill Murray
Gattaca,Drama,Andrew Niccol,Blair Underwood
Gentleman's Agreement,Drama,Elia Kazan,Dean Stockwell
Gentlemen Broncos,Adventure,Jared Hess,Jizelle Jade
George and the Dragon,Action,Tom Reeve,Joan Plowright
George of the Jungle,Action,Sam Weisman,Brendan Fraser
George Washington,Drama,David Gordon Green,Paul Schneider
Georgia Rule,Comedy,Garry Marshall,Hector Elizondo
Gerry,Adventure,Gus Van Sant,Matt Damon
Get Carter,Action,Stephen Kay,Sylvester Stallone
Get Hard,Comedy,Etan Cohen,Will Ferrell
Get Him to the Greek,Comedy,Nicholas Stoller,Pink
Get Low,Drama,Aaron Schneider,Bill Murray
Get on the Bus,Drama,Spike Lee,Bernie Mac
Get on Up,Biography,Tate Taylor,Tika Sumpter
Get Over It,Comedy,Tommy O'Haver,Mila Kunis
Get Rich or Die Tryin',Biography,Jim Sheridan,50 Cent
Get Shorty,Comedy,Barry Sonnenfeld,Delroy Lindo
Get Smart,Action,Peter Segal,Bill Murray
Getaway,Action,Courtney Solomon,Rebecca Budig
Gettysburg,Drama,Ron Maxwell,Tom Berenger
G-Force,Action,Hoyt Yeatman,Kelli Garner
Ghost,Drama,Jerry Zucker,Demi Moore
Ghost Dog: The Way of the Samurai,Action,Jim Jarmusch,Henry Silva
Ghost Rider,Action,Mark Steven Johnson,Nicolas Cage
Ghost Rider: Spirit of Vengeance,Action,Mark Neveldine,Nicolas Cage
Ghost Ship,Horror,Steve Beck,Isaiah Washington
Ghost Town,Comedy,David Koepp,Aasif Mandvi
Ghost World,Comedy,Terry Zwigoff,Scarlett Johansson
Ghostbusters,Action,Paul Feig,Ed Begley Jr.
Ghostbusters,Action,Paul Feig,Ed Begley Jr.
Ghosts of Mars,Action,John Carpenter,Jason Statham
Ghosts of Mississippi,Drama,Rob Reiner,Alexa PenaVega
Gigli,Comedy,Martin Brest,Todd Giebenhain
Girl 6,Comedy,Spike Lee,Michael Imperioli
Girl House,Horror,Jon Knautz,Camren Bicondova
Girl Interrupted,Biography,James Mangold,Angelina Jolie Pitt
Girl with a Pearl Earring,Biography,Peter Webber,Scarlett Johansson
Girls Gone Dead,Comedy,Michael Hoffman Jr.,Vincent Chimato
Give Me Shelter,Documentary,Kristin Rizzo,Esai Morales
Gladiator,Action,Ridley Scott,Djimon Hounsou
Glee: The 3D Concert Movie,Documentary,Kevin Tancharoen,Lea Michele
Glengarry Glen Ross,Crime,James Foley,Kevin Spacey
Glitter,Drama,Vondie Curtis-Hall,Mariah Carey
Glory,Drama,Edward Zwick,Denzel Washington
Glory,Drama,Edward Zwick,Denzel Washington
Glory Road,Biography,James Gartner,Mehcad Brooks
Go,Comedy,Doug Liman,Sarah Polley
Go for It!,Drama,Carmen Marron,Jossara Jinaro
Goal! The Dream Begins,Drama,Danny Cannon,Sean Pertwee
Goddess of Love,Drama,Jon Knautz,Rachel Alig
Gods and Generals,Drama,Ron Maxwell,Billy Campbell
Gods and Monsters,Biography,Bill Condon,Brendan Fraser
God's Not Dead 2,Drama,Harold Cronk,Benjamin A. Onyango
Gods of Egypt,Action,Alex Proyas,Gerard Butler
Godsend,Drama,Nick Hamm,Robert De Niro
Godzilla 2000,Action,Takao Okawara,Hiroshi Abe
Godzilla Resurgence,Action,Hideaki Anno,Mark Chinnery
Going the Distance,Comedy,Nanette Burstein,Rob Riggle
GoldenEye,Action,Martin Campbell,Izabella Scorupco
Goldfinger,Action,Guy Hamilton,Honor Blackman
Gone Girl,Crime,David Fincher,Patrick Fugit
Gone in Sixty Seconds,Action,Dominic Sena,Nicolas Cage
Gone with the Wind,Drama,Victor Fleming,Hattie McDaniel
Good,Drama,Vicente Amorim,Viggo Mortensen
Good Boy!,Comedy,John Hoffman,Liam Aiken
Good Bye Lenin!,Drama,Wolfgang Becker,Florian Lukas
Good Deeds,Comedy,Tyler Perry,Eddie Cibrian
Good Dick,Comedy,Marianna Palka,Bryce Dallas Howard
Good Intentions,Comedy,Jim Issa,Elaine Hendrix
Good Kill,Drama,Andrew Niccol,Bruce Greenwood
Good Luck Chuck,Comedy,Mark Helfrich,Dane Cook
Good Morning Vietnam,Biography,Barry Levinson,Robin Williams
Good Night and Good Luck.,Biography,George Clooney,Robert Downey Jr.
Good Will Hunting,Drama,Gus Van Sant,Robin Williams
Goodfellas,Biography,Martin Scorsese,Robert De Niro
Goosebumps,Adventure,Rob Letterman,Odeya Rush
Goosebumps,Adventure,Rob Letterman,Odeya Rush
Gory Gory Hallelujah,Comedy,Sue Corcoran,Tony Doupe
Gosford Park,Drama,Robert Altman,Kristin Scott Thomas
Gossip,Drama,Davis Guggenheim,Norman Reedus
Gothika,Horror,Mathieu Kassovitz,Robert Downey Jr.
Grabbers,Comedy,Jon Wright,Russell Tovey
Grace of Monaco,Biography,Olivier Dahan,Paz Vega
Grace Unplugged,Drama,Brad J. Silverman,Shawnee Smith
Gracie,Biography,Davis Guggenheim,Emma Bell
Graduation Day,Horror,Herb Freed,Linnea Quigley
Gran Torino,Drama,Clint Eastwood,Clint Eastwood
Grand Theft Parsons,Adventure,David Caffrey,Marley Shelton
Grandma's Boy,Comedy,Nicholaus Goossen,Linda Cardellini
Grave Encounters,Horror,Colin Minihan,Mackenzie Gray
Gravity,Adventure,Alfonso Cuarón,Phaldut Sharma
Grease,Musical,Randal Kleiser,Olivia Newton-John
Green Lantern,Action,Martin Campbell,Ryan Reynolds
Green Room,Crime,Jeremy Saulnier,Alia Shawkat
Green Street 3: Never Back Down,Action,James Nunn,Spencer Wilding
Green Zone,Action,Paul Greengrass,Matt Damon
Gremlins,Comedy,Joe Dante,Phoebe Cates
Gridiron Gang,Crime,Phil Joanou,Dwayne Johnson
Griff the Invisible,Comedy,Leon Ford,Maeve Dermody
Grindhouse,Action,Robert Rodriguez,Quentin Tarantino
Groove,Drama,Greg Harrison,Rachel True
Grosse Pointe Blank,Action,George Armitage,Minnie Driver
Groundhog Day,Comedy,Harold Ramis,Bill Murray
Growing Up Smith,Comedy,Frank Lotito,Brighton Sharbino
Grown Ups,Comedy,Dennis Dugan,Steve Buscemi
Grown Ups 2,Comedy,Dennis Dugan,Steve Buscemi
Grudge Match,Comedy,Peter Segal,Robert De Niro
Guardians of the Galaxy,Action,James Gunn,Bradley Cooper
Guess Who,Comedy,Kevin Rodney Sullivan,Bernie Mac
Guiana 1838,Drama,Rohit Jagessar,Kumar Gaurav
Gulliver's Travels,Adventure,Rob Letterman,James Corden
Gun Shy,Comedy,Eric Blakeney,Liam Neeson
Gunless,Action,William Phillips,Tyler Mane
H.,Drama,Rania Attieh,Paul Hickert
Hachi: A Dog's Tale,Drama,Lasse Hallström,Cary-Hiroyuki Tagawa
Hackers,Comedy,Iain Softley,Angelina Jolie Pitt
Hail Caesar!,Comedy,Ethan Coen,Scarlett Johansson
Hairspray,Comedy,Adam Shankman,Jerry Stiller
Half Baked,Comedy,Tamra Davis,Dave Chappelle
Half Nelson,Drama,Ryan Fleck,Ryan Gosling
Half Past Dead,Action,Don Michael Paul,Claudia Christian
Hall Pass,Comedy,Bobby Farrelly,Jenna Fischer
Halloween,Horror,John Carpenter,Jamie Lee Curtis
Halloween,Horror,John Carpenter,Jamie Lee Curtis
Halloween,Horror,John Carpenter,Jamie Lee Curtis
Halloween 4: The Return of Michael Myers,Horror,Dwight H. Little,Donald Pleasence
Halloween 5,Horror,Dominique Othenin-Girard,Donald Pleasence
Halloween II,Horror,Rob Zombie,Scout Taylor-Compton
Halloween II,Horror,Rob Zombie,Scout Taylor-Compton
Halloween III: Season of the Witch,Horror,Tommy Lee Wallace,Tom Atkins
Halloween: Resurrection,Comedy,Rick Rosenthal,Jamie Lee Curtis
Halloween: The Curse of Michael Myers,Horror,Joe Chappelle,Donald Pleasence
Hamlet,Drama,Kenneth Branagh,Julie Christie
Hamlet,Drama,Kenneth Branagh,Julie Christie
Hamlet 2,Comedy,Andrew Fleming,Steve Coogan
Hancock,Action,Peter Berg,Will Smith
Hands of Stone,Action,Jonathan Jakubowicz,Robert De Niro
Hang 'Em High,Western,Ted Post,Clint Eastwood
Hanging Up,Comedy,Diane Keaton,Adam Arkin
Hanna,Action,Joe Wright,Jessica Barden
Hannah Montana: The Movie,Comedy,Peter Chelsom,Emily Osment
Hannibal Rising,Crime,Peter Webber,Li Gong
Hansel & Gretel Get Baked,Comedy,Duane Journey,Molly C. Quinn
Happily N'Ever After,Adventure,Paul Bolger,Sarah Michelle Gellar
Happiness,Comedy,Todd Solondz,Philip Seymour Hoffman
Happy Christmas,Comedy,Joe Swanberg,Anna Kendrick
Happy Feet,Animation,George Miller,Robin Williams
Happy Feet 2,Animation,George Miller,Robin Williams
Happy Gilmore,Comedy,Dennis Dugan,Adam Sandler
Happy Texas,Comedy,Mark Illsley,Ally Walker
Hard Candy,Crime,David Slade,Odessa Rae
Hard Rain,Action,Mikael Salomon,Morgan Freeman
Hard to Be a God,Drama,Aleksey German,Leonid Yarmolnik
Hardball,Drama,Brian Robbins,Keanu Reeves
Hardflip,Action,Johnny Remo,Matthew Ziff
Harley Davidson and the Marlboro Man,Action,Simon Wincer,Vanessa Williams
Harlock: Space Pirate,Adventure,Shinji Aramaki,Shun Oguri
Harold & Kumar Escape from Guantanamo Bay,Adventure,Jon Hurwitz,Danneel Ackles
Harold & Kumar Go to White Castle,Adventure,Danny Leiner,Ethan Embry
Harper,Action,Jack Smight,Janet Leigh
Harriet the Spy,Comedy,Bronwen Hughes,Gregory Smith
Harrison Montgomery,Drama,Daniel Davila,Martin Landau
Harry Brown,Action,Daniel Barber,Joseph Gilgun
Harry Potter and the Chamber of Secrets,Adventure,Chris Columbus,Daniel Radcliffe
Harry Potter and the Deathly Hallows: Part I,Fantasy,Matt Birch,Rupert Grint
Harry Potter and the Deathly Hallows: Part II,Action,Matt Birch,Rupert Grint
Harry Potter and the Goblet of Fire,Adventure,Mike Newell,Robert Pattinson
Harry Potter and the Half-Blood Prince,Adventure,David Yates,Alan Rickman
Harry Potter and the Order of the Phoenix,Adventure,David Yates,Robert Pattinson
Harry Potter and the Prisoner of Azkaban,Adventure,Alfonso Cuarón,Daniel Radcliffe
Harry Potter and the Sorcerer's Stone,Adventure,Chris Columbus,Daniel Radcliffe
Harsh Times,Action,David Ayer,J.K. Simmons
Hart's War,Drama,Gregory Hoblit,Bruce Willis
Harvard Man,Comedy,James Toback,Sarah Michelle Gellar
Hatchet,Comedy,Adam Green,Joel David Moore
Hav Plenty,Comedy,Christopher Scott Cherot,Hill Harper
Hayride,Crime,Terron R. Parsons,Richard Tyson
Haywire,Action,Steven Soderbergh,Channing Tatum
He Got Game,Drama,Spike Lee,Denzel Washington
